=== ALL visible strings in main window widget tree ===
     outputSplit                  QCheckBox          toolTip          '<html><head/><body><p style=\'white-space:pre\'><span style=" font-weight:600; text-decoration: underline;">未勾选 '
     tempDirBox                   QCheckBox          text             '临时目录'
     tempDirBox                   QCheckBox          toolTip          '<html><head/><body><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - 主硬盘<br/></span>在系统主硬盘上'
     disableProcessingBox         QCheckBox          text             '禁用图像处理'
     disableProcessingBox         QCheckBox          toolTip          "<html><head/><body><p style='white-space:pre'>不对图像做任何处理，忽略配置文件和图像处理选项。</p></body></html>"
     upscaleBox                   QCheckBox          text             '拉伸/放大'
     upscaleBox                   QCheckBox          toolTip          '<html><head/><body><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - 不处理<br/></span>小于设备分辨率'
     interPanelCropBox            QCheckBox          text             '面板间裁剪'
     interPanelCropBox            QCheckBox          toolTip          '<html><head/><body><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - 禁用<br/></span>禁用</p><p'
     languageEdit                 QLineEdit          placeholder      'EPUB 语言'
     languageEdit                 QLineEdit          toolTip          '<html><head/><body><p>默认 EPUB 语言为 en-US。</p><p>仅在您的 EPUB 阅读器对英文字体有问题时才需要修改。</p></body></html>'
     webtoonBox                   QCheckBox          text             '条漫模式'
     webtoonBox                   QCheckBox          toolTip          "<html><head/><body><p style='white-space:pre'>启用韩式条漫的特殊解析模式。</p></body></html>"
     noRotateBox                  QCheckBox          text             '不旋转'
     noRotateBox                  QCheckBox          toolTip          '在跨页拆分选项中不旋转跨页图。'
     deleteBox                    QCheckBox          text             '删除源文件'
     deleteBox                    QCheckBox          toolTip          '删除输入文件或目录。此操作不可恢复！'
     invertDirectionBox           QCheckBox          text             '反转翻页方向'
     invertDirectionBox           QCheckBox          toolTip          '<html><head/><body><p>反转翻页方向。</p><p>通常用于从右到左的漫画，但您希望从左到右翻页的情况。此时跨页拆分仍按从右到左处理。</p><p>会破坏横向模式顺序等功能。</p></body></'
     noQuantizeBox                QCheckBox          text             '不做色彩量化'
     noQuantizeBox                QCheckBox          toolTip          '不把 PNG 图像量化为 16 色（4 位）\n\n这会使文件体积翻倍，但保留全部 256 色（8 位）。\n\n电子墨水屏只有 16 级灰阶，通常不建议开启。'
     rotateFirstBox               QCheckBox          text             '旋转页优先'
     rotateFirstBox               QCheckBox          toolTip          '<html><head/><body><p>当“跨页拆分”为半选状态时：</p><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - 旋'
     croppingBox                  QCheckBox          text             '裁剪模式'
     croppingBox                  QCheckBox          toolTip          '<html><head/><body><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - 禁用</span></p><p>禁用</p>'
     authorEdit                   QLineEdit          placeholder      '默认作者'
     authorEdit                   QLineEdit          toolTip          '默认作者为 KCC'
     mozJpegBox                   QCheckBox          text             'JPEG/PNG/mozJpeg'
     mozJpegBox                   QCheckBox          toolTip          '<html><head/><body><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - JPEG<br/></span>使用 JPE'
     lightnovelBox                QCheckBox          text             '轻小说模式'
     lightnovelBox                QCheckBox          toolTip          '仅缩放图像并保留原始文件结构。\n\n除 JPEG 质量、彩色模式、输出文件夹外，忽略大部分选项。'
     metadataTitleBox             QCheckBox          text             '元数据标题'
     metadataTitleBox             QCheckBox          toolTip          '<html><head/><body><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - 不使用元数据标题<br/></span>写入'
     fileFusionBox                QCheckBox          text             '文件合并'
     fileFusionBox                QCheckBox          toolTip          '<html><head/><body><p>把所有选中文件合并为单个文件（便于把多个章节合并成卷）。</p></body></html>'
     forcePngRgbBox               QCheckBox          text             '强制 PNG RGB'
     forcePngRgbBox               QCheckBox          toolTip          '强制把全彩图像保存为无损 PNG，文件体积会大幅增加。'
     wallpaperBox                 QCheckBox          text             '壁纸模式'
     wallpaperBox                 QCheckBox          toolTip          'Auto check various options intended for KOreader wallpapers.\n\nWill also crop images to fill the screen centere'
     maximizeStrips               QCheckBox          text             '1x4 转 2x2 条带'
     maximizeStrips               QCheckBox          toolTip          '<html><head/><body><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - 1x4<br/></span>保持 1x4 '
     autoLevelBox                 QCheckBox          text             '极值黑点'
     autoLevelBox                 QCheckBox          toolTip          '<html><head/><body><p>默认情况下，KCC 把最暗的像素值映射为纯黑（黑点）。</p><p>“极值黑点”改为把最常见的暗像素值设为黑点。</p><p>适用于文字为黑、画面偏灰的情况。</p></bod'
     ebokBox                      QCheckBox          text             '强制 EBOK'
     ebokBox                      QCheckBox          toolTip          '<html><head/><body><p>强制把 Kindle MOBI 标记为 EBOK 而不是 PDOC。</p><p>若离线超过一个月后再联网，可能导致通过 USB 导入的书籍被删除。</p></body></h'
     pdfWidthBox                  QCheckBox          text             'PDF 按宽度渲染'
     pdfWidthBox                  QCheckBox          toolTip          '按设备宽度而非高度渲染矢量 PDF。\n\n如果打算裁掉上下少量边缘以填满屏幕，此选项很有用。'
     autocontrastBox              QCheckBox          text             '自定义自动对比度'
     autocontrastBox              QCheckBox          toolTip          '<html><head/><body><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - 仅黑白<br/></span>只对黑白页面做'
     defaultOutputFolderBox       QCheckBox          text             '输出文件夹'
     defaultOutputFolderBox       QCheckBox          toolTip          '<html><head/><body><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - 与源文件同目录<br/></span>输出文'
     defaultOutputFolderButton    QPushButton        toolTip          '<html><head/><body><p>用于选择默认输出目录。</p></body></html>'
     pngLegacyBox                 QCheckBox          text             'PNG 兼容模式'
     pngLegacyBox                 QCheckBox          toolTip          '使用兼容性更好的 8 位 PNG，而不是 4 位。'
     rotateRightBox               QCheckBox          text             '向右旋转'
     rotateRightBox               QCheckBox          toolTip          '跨页图按相反方向旋转。'
     vertical4PanelBox            QCheckBox          text             '垂直四面板'
     vertical4PanelBox            QCheckBox          toolTip          '<html><head/><body><p>在虚拟面板模式下：</p><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - 横向<br/'
     borderBox                    QCheckBox          text             '黑白边距'
     borderBox                    QCheckBox          toolTip          '<html><head/><body><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - 自动检测<br/></span>自动检测边距'
     eraseRainbowBox              QCheckBox          text             '彩虹纹消除'
     eraseRainbowBox              QCheckBox          toolTip          '通过衰减干扰频率，消除彩色电子墨水屏的彩虹纹'
     webpBox                      QCheckBox          text             'WebP（实验性）'
     webpBox                      QCheckBox          toolTip          '用有损 WebP 替换 JPG、用无损 WebP 替换 PNG（JPEG 质量设置同样生效）。\n\n对 Kindle 的 EPUB/MOBI 以及所有 PDF 无效。'
     rotateBox                    QCheckBox          text             '跨页拆分'
     rotateBox                    QCheckBox          toolTip          '<html><head/><body><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - 拆分<br/></span>跨页图裁成两个独'
     chunkSizeCheckBox            QCheckBox          text             '分块大小'
     chunkSizeCheckBox            QCheckBox          toolTip          '<html><head/><body><p><span style=" font-weight:700; text-decoration: underline;">未勾选<br/></span>分卷前的最大输出体积：条漫'
     jpegQualityBox               QCheckBox          text             '自定义 JPEG 质量'
     jpegQualityBox               QCheckBox          toolTip          'JPEG 质量，范围 0（最差）到 95（最好）。\n\n除 Kindle Scribe 和 Colorsoft（默认 90）外，多数设备默认 85。\n\n数值越高体积越大、质量越好，也可能解决空白页问题。'
